t, Pond Storage (m3),t, Pond Outflow (m3/day),t, Pond Inflow (m3/day),t, Rain (mm/day)
40180.78000,0,40180.78000,0,40180.78000,0,40180.78000,0
40180.79000,0,40180.79000,0,40180.79000,0,40180.79000,0
40180.80000,0,40180.80000,0,40180.80000,0,40180.80000,0
40180.81000,0,40180.81000,0,40180.81000,0,40180.81000,0
40180.82000,0,40180.82000,0,40180.82000,0,40180.82000,0
40180.83000,0,40180.83000,0,40180.83000,0,40180.83000,0
40180.84000,0,40180.84000,0,40180.84000,0,40180.84000,0
40180.85000,0,40180.85000,0,40180.85000,0,40180.85000,0
40180.86000,0,40180.86000,0,40180.86000,0,40180.86000,0
40180.87000,0,40180.87000,0,40180.87000,0,40180.87000,0
40180.88000,0,40180.88000,0,40180.88000,0,40180.88000,0
40180.89000,0,40180.89000,0,40180.89000,0,40180.89000,0
40180.90000,0,40180.90000,0,40180.90000,0,40180.90000,0
40180.91000,0,40180.91000,0,40180.91000,0,40180.91000,0
40180.92000,0,40180.92000,0,40180.92000,0,40180.92000,0
40180.93000,0,40180.93000,0,40180.93000,0,40180.93000,0
40180.94000,0,40180.94000,0,40180.94000,0,40180.94000,0
40180.95000,0,40180.95000,0,40180.95000,0,40180.95000,0
40180.96000,0,40180.96000,0,40180.96000,0,40180.96000,0
40180.97000,0,40180.97000,0,40180.97000,0,40180.97000,0
40180.98000,0,40180.98000,0,40180.98000,0,40180.98000,0
40180.99000,0,40180.99000,0,40180.99000,0,40180.99000,0
40181.00000,0,40181.00000,0,40181.00000,0,40181.00000,0
40181.01000,0,40181.01000,0,40181.01000,0,40181.01000,0
40181.02000,0,40181.02000,0,40181.02000,0,40181.02000,0
40181.03000,0,40181.03000,0,40181.03000,0,40181.03000,0
40181.04000,0,40181.04000,0,40181.04000,0,40181.04000,0
40181.05000,0,40181.05000,0,40181.05000,0,40181.05000,0
40181.06000,0,40181.06000,0,40181.06000,0,40181.06000,0
40181.07000,0,40181.07000,0,40181.07000,0,40181.07000,0
40181.08000,0,40181.08000,0,40181.08000,0,40181.08000,0
40181.09000,0,40181.09000,0,40181.09000,0,40181.09000,0
40181.10000,0,40181.10000,0,40181.10000,0,40181.10000,0
40181.11000,0,40181.11000,0,40181.11000,0,40181.11000,0
40181.12000,0,40181.12000,0,40181.12000,0,40181.12000,0
40181.13000,0,40181.13000,0,40181.13000,0,40181.13000,0
40181.14000,0,40181.14000,0,40181.14000,0,40181.14000,0
40181.15000,0,40181.15000,0,40181.15000,0,40181.15000,0
40181.16000,0,40181.16000,0,40181.16000,0,40181.16000,0
40181.17000,0,40181.17000,0,40181.17000,0,40181.17000,0
40181.18000,0,40181.18000,0,40181.18000,0,40181.18000,0
40181.19000,0,40181.19000,0,40181.19000,0,40181.19000,0
40181.20000,0,40181.20000,0,40181.20000,0,40181.20000,0
40181.21000,0,40181.21000,0,40181.21000,0,40181.21000,0
40181.22000,0,40181.22000,0,40181.22000,0,40181.22000,0
40181.23000,0,40181.23000,0,40181.23000,0,40181.23000,0
40181.24000,0,40181.24000,0,40181.24000,0,40181.24000,0
40181.25000,0,40181.25000,0,40181.25000,0,40181.25000,0
40181.26000,0,40181.26000,0,40181.26000,0,40181.26000,0
40181.27000,0,40181.27000,0,40181.27000,0,40181.27000,0
40181.28000,0,40181.28000,0,40181.28000,0,40181.28000,0
40181.29000,0,40181.29000,0,40181.29000,0,40181.29000,0
40181.30000,0,40181.30000,0,40181.30000,0,40181.30000,0
40181.31000,0,40181.31000,0,40181.31000,0,40181.31000,0
40181.32000,0,40181.32000,0,40181.32000,0,40181.32000,0
40181.33000,0,40181.33000,0,40181.33000,0,40181.33000,0
40181.34000,0,40181.34000,0,40181.34000,0,40181.34000,0
40181.35000,0,40181.35000,0,40181.35000,0,40181.35000,0
40181.36000,0,40181.36000,0,40181.36000,0,40181.36000,0
40181.37000,0,40181.37000,0,40181.37000,0,40181.37000,0
40181.38000,0,40181.38000,0,40181.38000,0,40181.38000,0
40181.39000,0,40181.39000,0,40181.39000,0,40181.39000,0
40181.40000,0,40181.40000,0,40181.40000,0,40181.40000,0
40181.41000,0,40181.41000,0,40181.41000,0,40181.41000,0
40181.42000,0,40181.42000,0,40181.42000,0,40181.42000,0
40181.43000,0,40181.43000,0,40181.43000,0,40181.43000,0
40181.44000,0,40181.44000,0,40181.44000,0,40181.44000,0
